Tratamento;Dia;Repeticao;Num_ovos;Num_neonatos;Comprimento;Comprimento_original
0.006;6;R1;6;4;0,64;0,64
0.006;6;R2;7;6;0,69;0,69
0.006;6;R3;0;0;0,72;0,72
0.006;6;R4;8;4;0,69;0,69
0.006;6;R5;8;5;0,72;0,72
0.006;6;R6;0;0;0,66;0,66
0.006;6;R7;0;0;0;Morta
0.006;6;R8;9;8;0,7;0,7
0.006;6;R9;0;0;0,52;0,52
0.006;6;R10;0;4;0,66;0,66
0.006;7;R1;7;6;0,69;0,69
0.006;7;R2;0;0;0,69;0,69
0.006;7;R3;7;5;0,7;0,7
0.006;7;R4;0;0;0,69;0,69
0.006;7;R5;0;0;0,72;0,72
0.006;7;R6;0;0;0,66;0,66
0.006;7;R7;0;0;0;Morta
0.006;7;R8;0;0;0,7;0,7
0.006;7;R9;0;0;0,54;0,54
0.006;7;R10;4;0;0,66;0,66
0.006;8;R1;0;0;0;Morta
0.006;8;R2;6;6;0,72;0,72
0.006;8;R3;0;0;0,7;0,7
0.006;8;R4;0;0;0,69;0,69
0.006;8;R5;5;0;0,73;0,73
0.006;8;R6;7;0;0,67;0,67
0.006;8;R7;0;0;0;Morta
0.006;8;R8;0;8;0,7;0,7
0.006;8;R9;0;0;0,54;0,54
0.006;8;R10;0;0;0,66;0,66
0.01;0;R1;0;0;0,33;0,33
0.01;0;R2;0;0;0,34;0,34
0.01;0;R3;0;0;0,34;0,34
0.01;0;R4;0;0;0,31;0,31
0.01;0;R5;0;0;0,34;0,34
0.01;0;R6;0;0;0,34;0,34
0.01;0;R7;0;0;0,33;0,33
0.01;0;R8;0;0;0,33;0,33
0.01;0;R9;0;0;0,34;0,34
0.01;0;R10;0;0;0,34;0,34
0.01;1;R1;0;0;0,4;0,4
0.01;1;R2;0;0;0,42;0,42
0.01;1;R3;0;0;0,42;0,42
0.01;1;R4;0;0;0,42;0,42
0.01;1;R5;0;0;0,4;0,4
0.01;1;R6;0;0;0,42;0,42
0.01;1;R7;0;0;0,4;0,4
0.01;1;R8;0;0;0,4;0,4
0.01;1;R9;0;0;0,45;0,45
0.01;1;R10;0;0;0,43;0,43
0.01;2;R1;0;0;0,46;0,46
0.01;2;R2;0;0;0,52;0,52
0.01;2;R3;0;0;0,46;0,46
0.01;2;R4;0;0;0,52;0,52
0.01;2;R5;0;0;0,51;0,51
0.01;2;R6;0;0;0,46;0,46
0.01;2;R7;0;0;0,45;0,45
0.01;2;R8;0;0;0,49;0,49
0.01;2;R9;0;0;0,54;0,54
0.01;2;R10;0;0;0,46;0,46
0.01;3;R1;2;0;0,6;0,6
0.01;3;R2;4;0;0,61;0,61
0.01;3;R3;2;0;0,46;0,46
0.01;3;R4;4;0;0,6;0,6
0.01;3;R5;2;0;0,61;0,61
0.01;3;R6;0;0;0,49;0,49
0.01;3;R7;2;0;0,45;0,45
0.01;3;R8;4;0;0,58;0,58
0.01;3;R9;4;0;0,63;0,63
0.01;3;R10;4;0;0,64;0,64
0.01;4;R1;0;0;0,6;0,6
0.01;4;R2;0;0;0,61;0,61
0.01;4;R3;0;0;0,51;0,51
0.01;4;R4;0;0;0,6;0,6
0.01;4;R5;6;0;0,61;0,61
0.01;4;R6;0;0;0,49;0,49
0.01;4;R7;0;0;0,45;0,45
0.01;4;R8;0;0;0,58;0,58
0.01;4;R9;0;4;0,63;0,63
0.01;4;R10;7;4;0,67;0,67
0.01;5;R1;0;0;0;Morta
0.01;5;R2;6;4;0,67;0,67
0.01;5;R3;0;2;0,52;0,52
0.01;5;R4;6;4;0,67;0,67
0.01;5;R5;0;0;0,66;0,66
0.01;5;R6;0;0;0,54;0,54
0.01;5;R7;0;2;0,51;0,51
0.01;5;R8;5;4;0,64;0,64
0.01;5;R9;5;0;0,67;0,67
0.01;5;R10;7;0;0,56;0,56
0.01;6;R1;0;0;0;Morta
0.01;6;R2;0;0;0,66;0,66
0.01;6;R3;3;0;0,52;0,52
0.01;6;R4;6;6;0,7;0,7
0.01;6;R5;8;6;0,67;0,67
0.01;6;R6;0;0;0,54;0,54
0.01;6;R7;2;0;0,52;0,52
0.01;6;R8;8;5;0,67;0,67
0.01;6;R9;7;5;0,69;0,69
0.01;6;R10;5;7;0,7;0,7
0.01;7;R1;0;0;0;Morta
0.01;7;R2;6;4;0,7;0,7
0.01;7;R3;0;0;0,52;0,52
0.01;7;R4;0;0;0,7;0,7
0.01;7;R5;0;0;0,75;0,75
0.01;7;R6;0;0;0,55;0,55
0.01;7;R7;0;0;0,54;0,54
0.01;7;R8;0;0;0,69;0,69
0.01;7;R9;0;0;0,7;0,7
0.01;7;R10;0;0;0,7;0,7
0.01;8;R1;0;0;0;Morta
0.01;8;R2;6;0;0,73;0,73
0.01;8;R3;0;3;0,52;0,52
0.01;8;R4;0;6;0,73;0,73
0.01;8;R5;5;0;0,75;0,75
0.01;8;R6;7;0;0,55;0,55
0.01;8;R7;0;2;0,54;0,54
0.01;8;R8;0;8;0,72;0,72
0.01;8;R9;0;6;0,73;0,73
0.01;8;R10;0;5;0,7;0,7
0.02;0;R1;0;0;0,34;0,34
0.02;0;R2;0;0;0,31;0,31
0.02;0;R3;0;0;0,33;0,33
0.02;0;R4;0;0;0,31;0,31
0.02;0;R5;0;0;0,33;0,33
0.02;0;R6;0;0;0,33;0,33
0.02;0;R7;0;0;0,34;0,34
0.02;0;R8;0;0;0,34;0,34
0.02;0;R9;0;0;0,34;0,34
0.02;0;R10;0;0;0,33;0,33
0.02;1;R1;0;0;0,45;0,45
0.02;1;R2;0;0;0,4;0,4
0.02;1;R3;0;0;0,42;0,42
0.02;1;R4;0;0;0,4;0,4
0.02;1;R5;0;0;0,4;0,4
